NAME,FAMILY,TITLE,PRIORITY,BASELINE-IMPACT
CP-4 (1),CONTINGENCY PLANNING,COORDINATE WITH RELATED PLANS,,"MODERATE,HIGH"
CP-4 (2),CONTINGENCY PLANNING,ALTERNATE PROCESSING SITE,,HIGH
CP-4 (3),CONTINGENCY PLANNING,AUTOMATED TESTING,,
CP-4 (4),CONTINGENCY PLANNING,FULL RECOVERY / RECONSTITUTION,,
CP-6,CONTINGENCY PLANNING,ALTERNATE STORAGE SITE,P1,"MODERATE,HIGH"
CP-6 (1),CONTINGENCY PLANNING,SEPARATION FROM PRIMARY SITE,,"MODERATE,HIGH"
CP-6 (2),CONTINGENCY PLANNING,RECOVERY TIME / POINT OBJECTIVES,,HIGH
CP-6 (3),CONTINGENCY PLANNING,ACCESSIBILITY,,"MODERATE,HIGH"
CP-7,CONTINGENCY PLANNING,ALTERNATE PROCESSING SITE,P1,"MODERATE,HIGH"
CP-7 (1),CONTINGENCY PLANNING,SEPARATION FROM PRIMARY SITE,,"MODERATE,HIGH"
CP-7 (2),CONTINGENCY PLANNING,ACCESSIBILITY,,"MODERATE,HIGH"
CP-7 (3),CONTINGENCY PLANNING,PRIORITY OF SERVICE,,"MODERATE,HIGH"
CP-7 (4),CONTINGENCY PLANNING,PREPARATION FOR USE,,HIGH
CP-7 (6),CONTINGENCY PLANNING,INABILITY TO RETURN TO PRIMARY SITE,,
CP-8,CONTINGENCY PLANNING,TELECOMMUNICATIONS SERVICES,P1,"MODERATE,HIGH"
CP-8 (1),CONTINGENCY PLANNING,PRIORITY OF SERVICE PROVISIONS,,"MODERATE,HIGH"
CP-8 (2),CONTINGENCY PLANNING,SINGLE POINTS OF FAILURE,,"MODERATE,HIGH"
CP-8 (3),CONTINGENCY PLANNING,SEPARATION OF PRIMARY / ALTERNATE PROVIDERS,,HIGH
CP-8 (4),CONTINGENCY PLANNING,PROVIDER CONTINGENCY PLAN,,HIGH
CP-8 (5),CONTINGENCY PLANNING,ALTERNATE TELECOMMUNICATION SERVICE TESTING,,
CP-9,CONTINGENCY PLANNING,INFORMATION SYSTEM BACKUP,P1,"LOW,MODERATE,HIGH"
CP-9 (1),CONTINGENCY PLANNING,TESTING FOR RELIABILITY / INTEGRITY,,"MODERATE,HIGH"
CP-9 (2),CONTINGENCY PLANNING,TEST RESTORATION USING SAMPLING,,HIGH
CP-9 (3),CONTINGENCY PLANNING,SEPARATE STORAGE FOR CRITICAL INFORMATION,,HIGH
CP-9 (5),CONTINGENCY PLANNING,TRANSFER TO ALTERNATE STORAGE SITE,,HIGH
CP-9 (6),CONTINGENCY PLANNING,REDUNDANT SECONDARY SYSTEM,,
CP-9 (7),CONTINGENCY PLANNING,DUAL AUTHORIZATION,,
CP-10,CONTINGENCY PLANNING,INFORMATION SYSTEM RECOVERY AND RECONSTITUTION,P1,"LOW,MODERATE,HIGH"
CP-10 (2),CONTINGENCY PLANNING,TRANSACTION RECOVERY,,"MODERATE,HIGH"
CP-10 (4),CONTINGENCY PLANNING,RESTORE WITHIN TIME PERIOD,,HIGH
CP-10 (6),CONTINGENCY PLANNING,COMPONENT PROTECTION,,
CP-11,CONTINGENCY PLANNING,ALTERNATE COMMUNICATIONS PROTOCOLS,P0,
CP-12,CONTINGENCY PLANNING,SAFE MODE,P0,
CP-13,CONTINGENCY PLANNING,ALTERNATIVE SECURITY MECHANISMS,P0,
IA-1,IDENTIFICATION AND AUTHENTICATION,IDENTIFICATION AND AUTHENTICATION POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
IA-2,IDENTIFICATION AND AUTHENTICATION,IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS),P1,"LOW,MODERATE,HIGH"
IA-2 (1),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO PRIVILEGED ACCOUNTS,,"LOW,MODERATE,HIGH"
IA-2 (2),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS,,"MODERATE,HIGH"
IA-2 (3),IDENTIFICATION AND AUTHENTICATION,LOCAL ACCESS TO PRIVILEGED ACCOUNTS,,"MODERATE,HIGH"
IA-2 (4),IDENTIFICATION AND AUTHENTICATION,LOCAL ACCESS TO NON-PRIVILEGED ACCOUNTS,,HIGH
IA-2 (5),IDENTIFICATION AND AUTHENTICATION,GROUP AUTHENTICATION,,
IA-2 (6),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO PRIVILEGED ACCOUNTS - SEPARATE DEVICE,,
IA-2 (7),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS - SEPARATE DEVICE,,
IA-2 (8),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO PRIVILEGED ACCOUNTS - REPLAY RESISTANT,,"MODERATE,HIGH"
IA-2 (9),IDENTIFICATION AND AUTHENTICATION,NETWORK ACCESS TO NON-PRIVILEGED ACCOUNTS - REPLAY RESISTANT,,HIGH
IA-2 (10),IDENTIFICATION AND AUTHENTICATION,SINGLE SIGN-ON,,
IA-2 (11),IDENTIFICATION AND AUTHENTICATION,REMOTE ACCESS  - SEPARATE DEVICE,,"MODERATE,HIGH"
IA-2 (12),IDENTIFICATION AND AUTHENTICATION,ACCEPTANCE OF PIV CREDENTIALS,,"LOW,MODERATE,HIGH"
IA-2 (13),IDENTIFICATION AND AUTHENTICATION,OUT-OF-BAND AUTHENTICATION,,
IA-3,IDENTIFICATION AND AUTHENTICATION,DEVICE IDENTIFICATION AND AUTHENTICATION,P1,"MODERATE,HIGH"
IA-3 (1),IDENTIFICATION AND AUTHENTICATION,CRYPTOGRAPHIC BIDIRECTIONAL AUTHENTICATION,,
IA-3 (3),IDENTIFICATION AND AUTHENTICATION,DYNAMIC ADDRESS ALLOCATION,,
IA-3 (4),IDENTIFICATION AND AUTHENTICATION,DEVICE ATTESTATION,,
IA-4,IDENTIFICATION AND AUTHENTICATION,IDENTIFIER MANAGEMENT,P1,"LOW,MODERATE,HIGH"
IA-4 (1),IDENTIFICATION AND AUTHENTICATION,PROHIBIT ACCOUNT IDENTIFIERS AS PUBLIC IDENTIFIERS,,
IA-4 (2),IDENTIFICATION AND AUTHENTICATION,SUPERVISOR AUTHORIZATION,,
IA-4 (3),IDENTIFICATION AND AUTHENTICATION,MULTIPLE FORMS OF CERTIFICATION,,
IA-4 (4),IDENTIFICATION AND AUTHENTICATION,IDENTIFY USER STATUS,,
IA-4 (5),IDENTIFICATION AND AUTHENTICATION,DYNAMIC MANAGEMENT,,
IA-4 (6),IDENTIFICATION AND AUTHENTICATION,CROSS-ORGANIZATION MANAGEMENT,,
IA-4 (7),IDENTIFICATION AND AUTHENTICATION,IN-PERSON REGISTRATION,,
IA-5,IDENTIFICATION AND AUTHENTICATION,AUTHENTICATOR MANAGEMENT,P1,"LOW,MODERATE,HIGH"
IA-5 (1),IDENTIFICATION AND AUTHENTICATION,PASSWORD-BASED AUTHENTICATION,,"LOW,MODERATE,HIGH"
IA-5 (2),IDENTIFICATION AND AUTHENTICATION,PKI-BASED AUTHENTICATION,,"MODERATE,HIGH"
IA-5 (3),IDENTIFICATION AND AUTHENTICATION,IN-PERSON OR TRUSTED THIRD-PARTY REGISTRATION,,"MODERATE,HIGH"
IA-5 (4),IDENTIFICATION AND AUTHENTICATION,AUTOMATED SUPPORT  FOR PASSWORD STRENGTH DETERMINATION,,
IA-5 (5),IDENTIFICATION AND AUTHENTICATION,CHANGE AUTHENTICATORS PRIOR TO DELIVERY,,
IA-5 (6),IDENTIFICATION AND AUTHENTICATION,PROTECTION OF AUTHENTICATORS,,
IA-5 (7),IDENTIFICATION AND AUTHENTICATION,NO EMBEDDED UNENCRYPTED STATIC AUTHENTICATORS,,
IA-5 (8),IDENTIFICATION AND AUTHENTICATION,MULTIPLE INFORMATION SYSTEM ACCOUNTS,,
IA-5 (9),IDENTIFICATION AND AUTHENTICATION,CROSS-ORGANIZATION CREDENTIAL MANAGEMENT,,
IA-5 (10),IDENTIFICATION AND AUTHENTICATION,DYNAMIC CREDENTIAL ASSOCIATION,,
IA-5 (11),IDENTIFICATION AND AUTHENTICATION,HARDWARE TOKEN-BASED AUTHENTICATION,,"LOW,MODERATE,HIGH"
IA-5 (12),IDENTIFICATION AND AUTHENTICATION,BIOMETRIC-BASED AUTHENTICATION,,
IA-5 (13),IDENTIFICATION AND AUTHENTICATION,EXPIRATION OF CACHED AUTHENTICATORS,,
IA-5 (14),IDENTIFICATION AND AUTHENTICATION,MANAGING CONTENT OF PKI TRUST STORES,,
IA-5 (15),IDENTIFICATION AND AUTHENTICATION,FICAM-APPROVED PRODUCTS AND SERVICES,,
IA-6,IDENTIFICATION AND AUTHENTICATION,AUTHENTICATOR FEEDBACK,P2,"LOW,MODERATE,HIGH"
IA-7,IDENTIFICATION AND AUTHENTICATION,CRYPTOGRAPHIC MODULE AUTHENTICATION,P1,"LOW,MODERATE,HIGH"
IA-8,IDENTIFICATION AND AUTHENTICATION,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),P1,"LOW,MODERATE,HIGH"
IA-8 (1),IDENTIFICATION AND AUTHENTICATION,ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,,"LOW,MODERATE,HIGH"
IA-8 (2),IDENTIFICATION AND AUTHENTICATION,ACCEPTANCE OF THIRD-PARTY CREDENTIALS,,"LOW,MODERATE,HIGH"
IA-8 (3),IDENTIFICATION AND AUTHENTICATION,USE OF FICAM-APPROVED PRODUCTS,,"LOW,MODERATE,HIGH"
IA-8 (4),IDENTIFICATION AND AUTHENTICATION,USE OF FICAM-ISSUED PROFILES,,"LOW,MODERATE,HIGH"
IA-8 (5),IDENTIFICATION AND AUTHENTICATION,ACCEPTANCE OF PIV-I CREDENTIALS,,
IA-9,IDENTIFICATION AND AUTHENTICATION,SERVICE IDENTIFICATION AND AUTHENTICATION,P0,
IA-9 (1),IDENTIFICATION AND AUTHENTICATION,INFORMATION EXCHANGE,,
IA-9 (2),IDENTIFICATION AND AUTHENTICATION,TRANSMISSION OF DECISIONS,,
IA-10,IDENTIFICATION AND AUTHENTICATION,ADAPTIVE IDENTIFICATION AND AUTHENTICATION,P0,
IA-11,IDENTIFICATION AND AUTHENTICATION,RE-AUTHENTICATION,P0,
IR-1,INCIDENT RESPONSE,INCIDENT RESPONSE POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
IR-2,INCIDENT RESPONSE,INCIDENT RESPONSE TRAINING,P2,"LOW,MODERATE,HIGH"
IR-2 (1),INCIDENT RESPONSE,SIMULATED EVENTS,,HIGH
IR-2 (2),INCIDENT RESPONSE,AUTOMATED TRAINING ENVIRONMENTS,,HIGH
IR-3,INCIDENT RESPONSE,INCIDENT RESPONSE TESTING,P2,"MODERATE,HIGH"
IR-3 (1),INCIDENT RESPONSE,AUTOMATED TESTING,,
IR-3 (2),INCIDENT RESPONSE,COORDINATION WITH RELATED PLANS,,"MODERATE,HIGH"
IR-4,INCIDENT RESPONSE,INCIDENT HANDLING,P1,"LOW,MODERATE,HIGH"
IR-4 (1),INCIDENT RESPONSE,AUTOMATED INCIDENT HANDLING PROCESSES,,"MODERATE,HIGH"
IR-4 (2),INCIDENT RESPONSE,DYNAMIC RECONFIGURATION,,
IR-4 (3),INCIDENT RESPONSE,CONTINUITY OF OPERATIONS,,
IR-4 (4),INCIDENT RESPONSE,INFORMATION CORRELATION,,HIGH
IR-4 (5),INCIDENT RESPONSE,AUTOMATIC DISABLING OF INFORMATION SYSTEM,,
IR-4 (6),INCIDENT RESPONSE,INSIDER THREATS - SPECIFIC CAPABILITIES,,
IR-4 (7),INCIDENT RESPONSE,INSIDER THREATS - INTRA-ORGANIZATION COORDINATION,,
IR-4 (8),INCIDENT RESPONSE,CORRELATION WITH EXTERNAL ORGANIZATIONS,,
IR-4 (9),INCIDENT RESPONSE,DYNAMIC RESPONSE CAPABILITY,,
IR-4 (10),INCIDENT RESPONSE,SUPPLY CHAIN COORDINATION,,
IR-5,INCIDENT RESPONSE,INCIDENT MONITORING,P1,"LOW,MODERATE,HIGH"
IR-5 (1),INCIDENT RESPONSE,AUTOMATED TRACKING / DATA COLLECTION / ANALYSIS,,HIGH
IR-6,INCIDENT RESPONSE,INCIDENT REPORTING,P1,"LOW,MODERATE,HIGH"
IR-6 (1),INCIDENT RESPONSE,AUTOMATED REPORTING,,"MODERATE,HIGH"
IR-6 (2),INCIDENT RESPONSE,VULNERABILITIES RELATED TO INCIDENTS,,
IR-6 (3),INCIDENT RESPONSE,COORDINATION WITH SUPPLY CHAIN,,
IR-7,INCIDENT RESPONSE,INCIDENT RESPONSE ASSISTANCE,P2,"LOW,MODERATE,HIGH"
IR-7 (1),INCIDENT RESPONSE,AUTOMATION SUPPORT FOR AVAILABILITY OF INFORMATION / SUPPORT,,"MODERATE,HIGH"
IR-7 (2),INCIDENT RESPONSE,COORDINATION WITH EXTERNAL PROVIDERS,,
IR-8,INCIDENT RESPONSE,INCIDENT RESPONSE PLAN,P1,"LOW,MODERATE,HIGH"
IR-9,INCIDENT RESPONSE,INFORMATION SPILLAGE RESPONSE,P0,
IR-9 (1),INCIDENT RESPONSE,RESPONSIBLE PERSONNEL,,
IR-9 (2),INCIDENT RESPONSE,TRAINING,,
IR-9 (3),INCIDENT RESPONSE,POST-SPILL OPERATIONS,,
IR-9 (4),INCIDENT RESPONSE,EXPOSURE TO UNAUTHORIZED PERSONNEL,,
IR-10,INCIDENT RESPONSE,INTEGRATED INFORMATION SECURITY ANALYSIS TEAM,P0,
MA-1,MAINTENANCE,SYSTEM MAINTENANCE POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
MA-2,MAINTENANCE,CONTROLLED MAINTENANCE,P2,"LOW,MODERATE,HIGH"
MA-2 (2),MAINTENANCE,AUTOMATED MAINTENANCE ACTIVITIES,,HIGH
MA-3,MAINTENANCE,MAINTENANCE TOOLS,P3,"MODERATE,HIGH"
MA-3 (1),MAINTENANCE,INSPECT TOOLS,,"MODERATE,HIGH"
MA-3 (2),MAINTENANCE,INSPECT MEDIA,,"MODERATE,HIGH"
MA-3 (3),MAINTENANCE,PREVENT UNAUTHORIZED REMOVAL,,HIGH
MA-3 (4),MAINTENANCE,RESTRICTED TOOL USE,,
MA-4,MAINTENANCE,NONLOCAL MAINTENANCE,P2,"LOW,MODERATE,HIGH"
MA-4 (1),MAINTENANCE,AUDITING AND REVIEW,,
MA-4 (2),MAINTENANCE,DOCUMENT NONLOCAL MAINTENANCE,,"MODERATE,HIGH"
MA-4 (3),MAINTENANCE,COMPARABLE SECURITY / SANITIZATION,,HIGH
MA-4 (4),MAINTENANCE,AUTHENTICATION / SEPARATION OF MAINTENANCE SESSIONS,,
MA-4 (5),MAINTENANCE,APPROVALS AND NOTIFICATIONS,,
MA-4 (6),MAINTENANCE,CRYPTOGRAPHIC PROTECTION,,
MA-4 (7),MAINTENANCE,REMOTE DISCONNECT VERIFICATION,,
MA-5,MAINTENANCE,MAINTENANCE PERSONNEL,P2,"LOW,MODERATE,HIGH"
MA-5 (1),MAINTENANCE,INDIVIDUALS WITHOUT APPROPRIATE ACCESS,,HIGH
MA-5 (2),MAINTENANCE,SECURITY CLEARANCES FOR CLASSIFIED SYSTEMS,,
MA-5 (3),MAINTENANCE,CITIZENSHIP REQUIREMENTS FOR CLASSIFIED SYSTEMS,,
MA-5 (4),MAINTENANCE,FOREIGN NATIONALS,,
MA-5 (5),MAINTENANCE,NONSYSTEM-RELATED MAINTENANCE,,
MA-6,MAINTENANCE,TIMELY MAINTENANCE,P2,"MODERATE,HIGH"
MA-6 (1),MAINTENANCE,PREVENTIVE MAINTENANCE,,
MA-6 (2),MAINTENANCE,PREDICTIVE MAINTENANCE,,
MA-6 (3),MAINTENANCE,AUTOMATED SUPPORT FOR PREDICTIVE MAINTENANCE,,
MP-1,MEDIA PROTECTION,MEDIA PROTECTION POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
MP-2,MEDIA PROTECTION,MEDIA ACCESS,P1,"LOW,MODERATE,HIGH"
MP-3,MEDIA PROTECTION,MEDIA MARKING,P2,"MODERATE,HIGH"
MP-4,MEDIA PROTECTION,MEDIA STORAGE,P1,"MODERATE,HIGH"
MP-4 (2),MEDIA PROTECTION,AUTOMATED RESTRICTED ACCESS,,
MP-5,MEDIA PROTECTION,MEDIA TRANSPORT,P1,"MODERATE,HIGH"
MP-5 (3),MEDIA PROTECTION,CUSTODIANS,,
MP-5 (4),MEDIA PROTECTION,CRYPTOGRAPHIC PROTECTION,,"MODERATE,HIGH"
MP-6,MEDIA PROTECTION,MEDIA SANITIZATION,P1,"LOW,MODERATE,HIGH"
MP-6 (1),MEDIA PROTECTION,REVIEW / APPROVE / TRACK / DOCUMENT / VERIFY,,HIGH
MP-6 (2),MEDIA PROTECTION,EQUIPMENT TESTING,,HIGH
MP-6 (3),MEDIA PROTECTION,NONDESTRUCTIVE TECHNIQUES,,HIGH
MP-6 (7),MEDIA PROTECTION,DUAL AUTHORIZATION,,
MP-6 (8),MEDIA PROTECTION,REMOTE PURGING / WIPING OF INFORMATION,,
MP-7,MEDIA PROTECTION,MEDIA USE,P1,"LOW,MODERATE,HIGH"
MP-7 (1),MEDIA PROTECTION,PROHIBIT USE WITHOUT OWNER,,"MODERATE,HIGH"
MP-7 (2),MEDIA PROTECTION,PROHIBIT USE OF SANITIZATION-RESISTANT MEDIA,,
MP-8,MEDIA PROTECTION,MEDIA DOWNGRADING,P0,
MP-8 (1),MEDIA PROTECTION,DOCUMENTATION OF PROCESS,,
MP-8 (2),MEDIA PROTECTION,EQUIPMENT TESTING,,
MP-8 (3),MEDIA PROTECTION,CONTROLLED UNCLASSIFIED INFORMATION,,
MP-8 (4),MEDIA PROTECTION,CLASSIFIED INFORMATION,,
PE-1,PHYSICAL AND ENVIRONMENTAL PROTECTION,PHYSICAL AND ENVIRONMENTAL PROTECTION POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
PE-2,PHYSICAL AND ENVIRONMENTAL PROTECTION,PHYSICAL ACCESS AUTHORIZATIONS,P1,"LOW,MODERATE,HIGH"
PE-2 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,ACCESS BY POSITION / ROLE,,
PE-2 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,TWO FORMS OF IDENTIFICATION,,
PE-2 (3),PHYSICAL AND ENVIRONMENTAL PROTECTION,RESTRICT UNESCORTED ACCESS,,
PE-3,PHYSICAL AND ENVIRONMENTAL PROTECTION,PHYSICAL ACCESS CONTROL,P1,"LOW,MODERATE,HIGH"
PE-3 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,INFORMATION SYSTEM ACCESS,,HIGH
PE-3 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,FACILITY / INFORMATION SYSTEM BOUNDARIES,,
PE-3 (3),PHYSICAL AND ENVIRONMENTAL PROTECTION,CONTINUOUS GUARDS / ALARMS / MONITORING,,
PE-3 (4),PHYSICAL AND ENVIRONMENTAL PROTECTION,LOCKABLE CASINGS,,
PE-3 (5),PHYSICAL AND ENVIRONMENTAL PROTECTION,TAMPER PROTECTION,,
PE-3 (6),PHYSICAL AND ENVIRONMENTAL PROTECTION,FACILITY PENETRATION TESTING,,
PE-4,PHYSICAL AND ENVIRONMENTAL PROTECTION,ACCESS CONTROL FOR TRANSMISSION MEDIUM,P1,"MODERATE,HIGH"
PE-5,PHYSICAL AND ENVIRONMENTAL PROTECTION,ACCESS CONTROL FOR OUTPUT DEVICES,P2,"MODERATE,HIGH"
PE-5 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,ACCESS TO OUTPUT BY AUTHORIZED INDIVIDUALS,,
PE-5 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,ACCESS TO OUTPUT BY INDIVIDUAL IDENTITY,,
PE-5 (3),PHYSICAL AND ENVIRONMENTAL PROTECTION,MARKING OUTPUT DEVICES,,
PE-6,PHYSICAL AND ENVIRONMENTAL PROTECTION,MONITORING PHYSICAL ACCESS,P1,"LOW,MODERATE,HIGH"
PE-6 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,INTRUSION ALARMS / SURVEILLANCE EQUIPMENT,,"MODERATE,HIGH"
PE-6 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATED INTRUSION RECOGNITION / RESPONSES,,
PE-6 (3),PHYSICAL AND ENVIRONMENTAL PROTECTION,VIDEO SURVEILLANCE,,
PE-6 (4),PHYSICAL AND ENVIRONMENTAL PROTECTION,MONITORING PHYSICAL ACCESS TO INFORMATION SYSTEMS,,HIGH
PE-8,PHYSICAL AND ENVIRONMENTAL PROTECTION,VISITOR ACCESS RECORDS,P3,"LOW,MODERATE,HIGH"
PE-8 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATED RECORDS MAINTENANCE / REVIEW,,HIGH
PE-9,PHYSICAL AND ENVIRONMENTAL PROTECTION,POWER EQUIPMENT AND CABLING,P1,"MODERATE,HIGH"
PE-9 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,REDUNDANT CABLING,,
PE-9 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATIC VOLTAGE CONTROLS,,
PE-10,PHYSICAL AND ENVIRONMENTAL PROTECTION,EMERGENCY SHUTOFF,P1,"MODERATE,HIGH"
PE-11,PHYSICAL AND ENVIRONMENTAL PROTECTION,EMERGENCY POWER,P1,"MODERATE,HIGH"
PE-11 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,LONG-TERM ALTERNATE POWER SUPPLY - MINIMAL OPERATIONAL CAPABILITY,,HIGH
PE-11 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,LONG-TERM ALTERNATE POWER SUPPLY - SELF-CONTAINED,,
PE-12,PHYSICAL AND ENVIRONMENTAL PROTECTION,EMERGENCY LIGHTING,P1,"LOW,MODERATE,HIGH"
PE-12 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,,
PE-13,PHYSICAL AND ENVIRONMENTAL PROTECTION,FIRE PROTECTION,P1,"LOW,MODERATE,HIGH"
PE-13 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,DETECTION DEVICES / SYSTEMS,,HIGH
PE-13 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,SUPPRESSION DEVICES / SYSTEMS,,HIGH
PE-13 (3),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATIC FIRE SUPPRESSION,,"MODERATE,HIGH"
PE-13 (4),PHYSICAL AND ENVIRONMENTAL PROTECTION,INSPECTIONS,,
PE-14,PHYSICAL AND ENVIRONMENTAL PROTECTION,TEMPERATURE AND HUMIDITY CONTROLS,P1,"LOW,MODERATE,HIGH"
PE-14 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATIC CONTROLS,,
PE-14 (2),PHYSICAL AND ENVIRONMENTAL PROTECTION,MONITORING WITH ALARMS / NOTIFICATIONS,,
PE-15,PHYSICAL AND ENVIRONMENTAL PROTECTION,WATER DAMAGE PROTECTION,P1,"LOW,MODERATE,HIGH"
PE-15 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,AUTOMATION SUPPORT,,HIGH
PE-16,PHYSICAL AND ENVIRONMENTAL PROTECTION,DELIVERY AND REMOVAL,P2,"LOW,MODERATE,HIGH"
PE-17,PHYSICAL AND ENVIRONMENTAL PROTECTION,ALTERNATE WORK SITE,P2,"MODERATE,HIGH"
PE-18,PHYSICAL AND ENVIRONMENTAL PROTECTION,LOCATION OF INFORMATION SYSTEM COMPONENTS,P3,HIGH
PE-18 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,FACILITY SITE,,
PE-19,PHYSICAL AND ENVIRONMENTAL PROTECTION,INFORMATION LEAKAGE,P0,
PE-19 (1),PHYSICAL AND ENVIRONMENTAL PROTECTION,NATIONAL EMISSIONS / TEMPEST POLICIES AND PROCEDURES,,
PE-20,PHYSICAL AND ENVIRONMENTAL PROTECTION,ASSET MONITORING AND TRACKING,P0,
PL-1,PLANNING,SECURITY PLANNING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
PL-2,PLANNING,SYSTEM SECURITY PLAN,P1,"LOW,MODERATE,HIGH"
PL-2 (3),PLANNING,PLAN / COORDINATE WITH OTHER ORGANIZATIONAL ENTITIES,,"MODERATE,HIGH"
PL-4,PLANNING,RULES OF BEHAVIOR,P2,"LOW,MODERATE,HIGH"
PL-4 (1),PLANNING,SOCIAL MEDIA AND NETWORKING RESTRICTIONS,,"MODERATE,HIGH"
PL-7,PLANNING,SECURITY CONCEPT OF OPERATIONS,P0,
PL-8,PLANNING,INFORMATION SECURITY ARCHITECTURE,P1,"MODERATE,HIGH"
PL-8 (1),PLANNING,DEFENSE-IN-DEPTH,,
PL-8 (2),PLANNING,SUPPLIER DIVERSITY,,
PL-9,PLANNING,CENTRAL MANAGEMENT,P0,
PS-1,PERSONNEL SECURITY,PERSONNEL SECURITY POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
PS-2,PERSONNEL SECURITY,POSITION RISK DESIGNATION,P1,"LOW,MODERATE,HIGH"
PS-3,PERSONNEL SECURITY,PERSONNEL SCREENING,P1,"LOW,MODERATE,HIGH"
PS-3 (1),PERSONNEL SECURITY,CLASSIFIED INFORMATION,,
PS-3 (2),PERSONNEL SECURITY,FORMAL INDOCTRINATION,,
PS-3 (3),PERSONNEL SECURITY,INFORMATION WITH SPECIAL PROTECTION MEASURES,,
PS-4,PERSONNEL SECURITY,PERSONNEL TERMINATION,P1,"LOW,MODERATE,HIGH"
PS-4 (1),PERSONNEL SECURITY,POST-EMPLOYMENT REQUIREMENTS,,
PS-4 (2),PERSONNEL SECURITY,AUTOMATED NOTIFICATION,,HIGH
PS-5,PERSONNEL SECURITY,PERSONNEL TRANSFER,P2,"LOW,MODERATE,HIGH"
PS-6,PERSONNEL SECURITY,ACCESS AGREEMENTS,P3,"LOW,MODERATE,HIGH"
PS-6 (2),PERSONNEL SECURITY,CLASSIFIED INFORMATION REQUIRING SPECIAL PROTECTION,,
PS-6 (3),PERSONNEL SECURITY,POST-EMPLOYMENT REQUIREMENTS,,
PS-7,PERSONNEL SECURITY,THIRD-PARTY PERSONNEL SECURITY,P1,"LOW,MODERATE,HIGH"
PS-8,PERSONNEL SECURITY,PERSONNEL SANCTIONS,P3,"LOW,MODERATE,HIGH"
RA-1,RISK ASSESSMENT,RISK ASSESSMENT POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
RA-2,RISK ASSESSMENT,SECURITY CATEGORIZATION,P1,"LOW,MODERATE,HIGH"
RA-3,RISK ASSESSMENT,RISK ASSESSMENT,P1,"LOW,MODERATE,HIGH"
RA-5,RISK ASSESSMENT,VULNERABILITY SCANNING,P1,"LOW,MODERATE,HIGH"
RA-5 (1),RISK ASSESSMENT,UPDATE TOOL CAPABILITY,,"MODERATE,HIGH"
RA-5 (2),RISK ASSESSMENT,UPDATE BY FREQUENCY / PRIOR TO NEW SCAN / WHEN IDENTIFIED,,"MODERATE,HIGH"
RA-5 (3),RISK ASSESSMENT,BREADTH / DEPTH OF COVERAGE,,
RA-5 (4),RISK ASSESSMENT,DISCOVERABLE INFORMATION,,HIGH
RA-5 (5),RISK ASSESSMENT,PRIVILEGED ACCESS,,"MODERATE,HIGH"
RA-5 (6),RISK ASSESSMENT,AUTOMATED TREND ANALYSES,,
RA-5 (8),RISK ASSESSMENT,REVIEW HISTORIC AUDIT LOGS,,
RA-5 (10),RISK ASSESSMENT,CORRELATE SCANNING INFORMATION,,
